date_of_notice,card_date,month_year,date_of_notice_additional_info,event_number,rapid_response_specialist,reason_stated_for_filing,company,address,location,county,wdb_name,region,contact,phone,business_type,number_affected,raw_number_affected,rescission_amend,total_employees,raw_total_employees,not_affected,layoff_date,closing_date,reason_for_dislocation,fein_num,union,classification_and_additional_info
8/18/21,18-Aug-21,Aug-21,And 8/26/2021 Amendment: 12/29/2021,2021-0009,Stuart Goldberg,Plant Closing,"Aclara Smart Grid Solutions, LLC and Aclara Technologies LLC","1970 Pitkin Ave. Brooklyn, NY 11207 and 1185 Commerce Ave. Bronx, NY 10462","Kings, Bronx |Wdb Name: New York City|Region: New York City","Kings, Bronx",New York City,New York City,"Bette Jacques, Director of Human Resources",{603)749-8224,Utilities management,565 (total employees at both sites),565,565,565,565,0,"Permanent separations for 220 employees will be postponed from the 14-day periods starting on 11/24/2021 and 1/13/2022 to the lA^day periods.starlng on 1/14/2022(3), 1/21/2022(215), and 3/3/2022 (2).",The Brooklyn site will be closing 12/31/2021. Closing date yet to be determined for the Bronx site.,Completion of stand-alone project,35-2547202,"Communications Workers of America (""CWA""), Local 1109",Plant Closing
3/19/21,19-Mar-21,Mar-21,Amendment: 12/29/2021,2020-0441,Stuart Goldberg,Possible Plant Closing,"Somos Healthcare Providers, Inc.","2910 Exterior Street, 1st Floor, Bronx, NY 10463",Bronx |Wdb Name: New York City | Region: New York City,Bronx,New York City,New York City,"Liz Webb, VP of Human Resources",(516) 642-4068,Community care and advocate community provider,86,86,86,86,86,0,Permanent layoffs for 86 employees on site (down from 121) will be extended from 12/31/2021 to 3/31/2022.,The business has not yet determined if the site will be closing.,Reorganization of the corporation,47-2528627,The employees are not represented by a union.,Possible Plant Closing
12/22/21,22-Dec-21,Dec-21,NA,2021-0037,Frederick Danks,Plant Unit Closing,Slant/Fin Corporation,"100 Forest Dr #1295, Greenvale, NY 11548",Nassau |Wdb Name: Hempstead | Region: Long Island,Nassau,Hempstead,Long Island,"Charles Famoso, Chief Financial Officer",(516) 484-2610 Ext: 215,Heating equipment supplier,68,68,68,250,250,182,The business will be permanently ceasing their manufacturing of baseboard products affecting 68 employees. Separations are expected to take place on 3/31/2022.,3/31/22,Cessation of the manufacturing of baseboard products in Greenvale.,11-1605575,"Local 485, International Union of Electrical Workers - Communication Workers of America (IUE-CWA)",Plant Unit Closing
9/28/21,28-Sep-21,Sep-21,Amendment: 12/22/2021,2021-0022,Michele Taylor,Plant Closing,"Transportation Insight, LLC (Phase 2)","5251 Shawnee Road, Sanborn, NY 14132",Niagara |Wdb Name: Niagara | Region: Western Region,Niagara,Niagara,Western Region,"Bryan Rueger, VP People & Talent",(828) 485-5237,Provides logistics and transportation services,6,6,6,45,45,39,Phase II separations will be postponed from 1/1/2022 to on or around 2/18/2022 affecting 6 employees.,2/18/22,Business acquisition and consolidation of operations,56-2197884,The employees are not represented by a union.,Plant Closing
8/13/21,13-Aug-21,Aug-21,Amendment: 12/22/2021,2021-0005,Michele Taylor,Plant Closing,"Transportation Insight, LLC (Phase 1)","5251 Shawnee Road, Sanborn, NY 14132",Niagara |Wdb Name: Niagara | Region: Western Region,Niagara,Niagara,Western Region,"Bryan Rueger, VP People & Talent",(828) 485-5237,Provides logistics and transportation services,10,10,10,45,45,35,Phase 1 separations will be postponed from 12/3/2021 to on or around 1/7/2022 affecting 10 employees.,2/18/22,Business acquisition and consolidation of operations.,56-2197884,The employees are not represented by a union.,Plant Closing
9/30/21,30-Sep-21,Sep-21,Amendment: 12/20/2021,2021-0023,Melissa Baretsky,Plant Layoff,New York Air Brake,784 Starbuck Ave.,Jefferson |Wdb Name: Jeff/Lewis | Region: North Country Region,Jefferson,Jeff/Lewis,North Country Region,"Rich Kane, Senior Director of Human Resources",(315) 786-5553,Brake shop,109,109,109,336,336,227,"A total of 13 employee separations in Phase 1 will be postponed from the 14-day period starting on January 10, 2022 to the 14-day period starting on January 28, 2022. Two employee separations will remain during the 14-day period starting on January 10, 2022. Ninety-three employee separations for Phase II are anticipated to remain the same (14-day period starting on March 18, 2022), and one employee separation is anticipated to be during the 14-day period starting on June 24, 2022.",----,Restructuring of the Strategic Business Unit (SBU) production and manufacturing operations,16-1385584,"International Association of Machinists & Aerospace Workers, Lodge No. 761, District 65",Plant Layoff
12/7/21,7-Dec-21,Dec-21,NA,2021-0036,Elias Flores,Plant Closing,"Silarx Pharmaceuticals, Inc., a Lannett Company",1033 Stoneleigh Avenue,Putnam |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region,Putnam,Westch/Ptnm,Mid-Hudson Region,"Ryan Finnegan, Associate Director Talent Acquisition & HR",(215) 333-9000 Ext: 2363,Liquid drug production,72,72,72,----,NA,NA,"Separations for 72 employees will occur on 3/26/2022 (11), 6/24/2022 (12), 12/30/2022 (41), and 6/30/2023 (8).",The business will be permanently closing on 6/30/2023.,"The business will be transferring liquid drug production to the company’s main plant in Seymour, Indiana from the facility in Carmel, New York.",22-2631798,The employees are not represented by a union.,Plant Closing
8/18/21,18-Aug-21,Aug-21,And 8/26/2021 Amendment: 12/3/2021,2021-0009,Stuart Goldberg,Plant Closing,"Aclara Smart Grid Solutions, LLC",1970 Pitkin Ave,"Kings, Bronx |Wdb Name: New York City | Region: New York City","Kings, Bronx",New York City,New York City,"Bette Jacques, Director of Human Resources",(603) 749-8224,Utilities management,565 (total employees at both sites),565,565,565,565,0,"An additional 73 permanent employee separations will be postponed from the 14- day period starting on 11/24/2021 to the 14-day period starting on 12/17/2021 (52) and the 14- day period starting on 1/21/2022 (21). Also, there will be one (1) additional permanent employee separation expected to occur during the 14-day period starting on 3/3/2022.",1/21/22,Completion of stand-alone project,35-2547202,"Communications Workers of America (""CWA""), Local 1109",Plant Closing
11/29/21,29-Nov-21,Nov-21,NA,2021-0035,Melissa Baretsky,Plant Unit Closing,ACCO Brands USA LLC,US Warehouse Operations,St. Lawrence |Wdb Name: St Lawrence | Region: North Country Region,St. Lawrence,St Lawrence,North Country Region,"Michael Donnelly, Human Resources",(315) 605-3195,US Warehouse Operations,6,6,6,61,61,55,"Separations will occur on 3/1/2022 (1), 3/7/2022 (3), and 4/1/2022 (2).",It is presently expected that the termination of the US Warehouse Operations will occur between 1/1/2022 and 4/1/2022.,Economic,13-2657051,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503",Plant Unit Closing
11/26/21,26-Nov-21,Nov-21,Rescission: 12/2/2021,2021-0033,Frederick Danks,Plant Closing,"North Shore Linen, Inc.",20 Rider Place and 129 Hanse Avenue,Nassau |Wdb Name: Hempstead | Region: Long Island,Nassau,Hempstead,Long Island,"Mark Rauch, Company liaison",(516) 442-7274,Premier linen and uniform rental service,111,111,0,111,111,0,"The business is rescinding their 11/26/2021 WARN notice. They no longer intend to close the North Shore Linen, Inc.","The anticipated closing date is on or about February 24, 2022.",Sale of Business,11-3180711,United Workers of America & International Union of Journeyman and Allied Trade,Plant Closing
