"date_of_notice","card_date","month_year","date_of_notice_additional_info","event_number","rapid_response_specialist","reason_stated_for_filing","company","address","location","county","wdb_name","region","contact","phone","business_type","number_affected","raw_number_affected","rescission_amend","total_employees","raw_total_employees","not_affected","layoff_date","closing_date","reason_for_dislocation","fein_num","union","classification_and_additional_info"
"2022-09-19","September 19, 2022","September 2022","Amendment: 12/27/2022","2022-0021","Amy Riter","Plant Layoff","Wells Enterprises, Inc. (Dunkirk Ice Cream Plant)","1 Ice Cream Drive","Chautauqua |Wdb Name: Chautauqua | Region: Western Region","Chautauqua","Chautauqua","Western Region","Patricia Bonnes, Human Resource Business Partner","(716) 317-5423","Ice Cream and Frozen Desert Manufacturer","183",183,183,"643",643,460,"Separations for 319 employees was reduced to 183 employees. The layoffs will continue to take place on December 31, 2022.","- - - -","Economic","42-1080796","Teamsters Local #264 – Affiliate of the International Brotherhood of Teamsters","Plant Layoff"
"2022-12-16","December 16, 2022","December 2022",NA,"2022-0076","Lisa McGuire","Plant Layoff","GF's Fab 8 - Malta Site (@ Global Foundries)","400 Stonebreak Road Ext.","Saratoga |Wdb Name: Sar/War/Was | Region: Capital Region","Saratoga","Sar/War/Was","Capital Region","Jennifer Pickering, Senior Director Learning & Development","(518) 860-7530","Multinational semiconductor contract manufacturing and design company","221",221,221,"----",NA,NA,"Separations for 18 employees all effective as of the same date of March 17, 2023.","----","Economic","26-3122131","The employees are not represented by a union.","Plant Layoff"
"2022-12-16","December 16, 2022","December 2022",NA,"2022-0075","Elias Flores","Plant Layoff","GF's Fab 10 - East Fishkill Site (@ Global Foundries)","2070 Route 52","Dutchess |Wdb Name: Dutchess | Region: Mid-Hudson Region","Dutchess","Dutchess","Mid-Hudson Region","Jennifer Pickering, Senior Director Learning & Development","(518) 860-7530","Multinational semiconductor contract manufacturing and design company","18",18,18,"----",NA,NA,"Separations for 18 employees all effective as of the same date of March 17, 2023.","----","Economic","47-3796721","The employees are not represented by a union.","Plant Layoff"
"2022-12-22","December 22, 2022","December 2022",NA,"2022-0074","Amy Riter","Plant Closing","Hu-Friedy Mfg., Co., LLC d/b/a HuFriedyGroup (formerly Crosstex International, Inc)","31 Water Street","Allegany |Wdb Name: All/Cat | Region: Western Region","Allegany","All/Cat","Western Region","Wesley Jones, Senior Manager, Human Resources","(585) 895-1789","Dental instrument manufacturing, infection prevention, and instrument reprocessing workflows.","29",29,29,"29",29,0,"Separations for 29 employees will occur on March 31, 2023.","March 31, 2023","HuFriedyGroup is closing the facility located in Cuba, NY and relocating its operations to Rush, NY and Mentor, OH.","27-2219304","The employees are not represented by a union.","Plant Closing"
"2022-12-15","December 15, 2022","December 2022",NA,"2022-0073","Amy Riter","Plant Closing","Athenex Pharma Solutions","11342 Main Street","Erie |Wdb Name: Erie | Region: Western Region","Erie","Erie","Western Region","John Matthei, Chief Human Resources Officer","(847) 232-4085","Global biopharmaceutical company","92",92,92,"92",92,0,"Separations are scheduled to occur on or about March 17, 2023, with all associates expected to be impacted on or after that date.","March 17, 2023","Economic","45-5250649","The employees are not represented by a union.","Plant Closing"
"2022-11-29","November 29, 2022","November 2022","Amendment: 12/22/2022","2022-0064","Frederick Danks","Plant Layoff","Reverse Mortgage Funding LLC","41 Pinelawn Rd., Ste 200","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Craig Corn, Chief Executive Officer","(973) 434-7218","National reverse mortgage lender","133",133,133,"133",133,0,"An additional 14 employee layoffs are expected to occur in waves on the following dates: March 22, 2023 and March 31, 2023.","----","Economic","80-0860209","The employees are not represented by a union.","Plant Layoff"
"2022-08-23","August 23, 2022","August 2022","Amendment: 12/21/2022","2022-0016","Paula Yerdon","Plant Closing","Voyant Beauty LLC","","Cortland |Wdb Name: Cayuga/Cort | Region: Central Region","Cortland","Cayuga/Cort","Central Region","Jennifer Coleman, Employee and Community Relations Manager","(607) 218-1971","Supplies plastic bottles for the Voyant product line","320 (total affected at both sites)",320,320,"320",320,0,"Voyant Beauty LLC will be extending their projected end date from December 31, 2022 to March 31, 2023.","March 31, 2023","Economic","00-3926223","The employees are not represented by a union.","Plant Closing"
"2022-12-07","December 7, 2022","December 2022",NA,"2022-0067, 2022-0068, 2022-0069","Stuart Goldberg , Frederick Danks, Elias Flores","Plant Closing","Humana at Home Inc. d/b/a SeniorBridge","","Queens, Kings, New York |Wdb Name: New York City | Region: New York City County: Suffolk, Nassau |Wdb Name: Suffolk | Region: Long Island County: Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region","Queens, Kings, New York","New York City","New York City County: Suffolk, Nassau |WDB Name: SUFFOLK | Region: Long Island County: Westchester |WDB Name: WESTCH/PTNM | Region: Mid-Hudson Region","Nathan Bellinger, Associate VP. Care Management","(502) 472-7803","For-profit American health insurance company","1,005 (total employees at all sites)",1005,1005,"----",NA,NA,"The employees are expected to be separated from employment beginning on March 6, 2023, with all separations accomplished by March 6, 2023.","January 27, 2023","Economic","36-4484443","The employees are not represented by a union.","Plant Closing Humana at Home Inc. d/b/a SeniorBridge sites: 2022-0067 (NYC): 26 Court Street, Suite 905, Brooklyn, NY 11242 80-02 Kew Gardens Road, Suite 203, Kew Gardens, NY 11415 845 Third Ave., 7th Floor, New York, NY 10022 2022-0068 (Long Island): 200 Old Country Rd., Suite 300, Mineola, NY 11501 3239 Route 112, Building 8, Medford, NY 11763 10 West Main Street, Suite 212, Riverhead, NY 11901 2022-0069 (Mid-Hudson): 445 Hamilton Ave, Suite 603, White Plains, NY 10601"
"2022-12-16","December 16, 2022","December 2022",NA,"2022-0071","Stuart Goldberg","Plant Layoff","Convene Operations LLC","","New York |Wdb Name: New York City | Region: Mid-Hudson Region","New York","New York City","Mid-Hudson Region","Margaret Rafferty, Head of People & Culture","(888) 730-7307","Event venue","54",54,54,"----",NA,NA,"Separations for 54 employees occurred on December 16, 2022.","----","Economic","27-4598988","The employees are not represented by a union.","Plant Layoff Convene Operations LLC sites: Convene Technology and Corporate Office, 101 Greenwich St, New York, NY 10006 (34 employees affected) 75 Rockefeller Plaza, New York, NY 10104 (2 employees affected) 530 5th Ave, New York, NY 10036 (3 employees affected) 250 Vesey St, New York, NY 10281 (2 employees affected) 237 Park Ave, New York, NY 10017 (2 employees affected) 225 Liberty St, New York, NY 10281 (2 employees affected) 117 W 46th St, New York, NY 10036 (4 employees affected) 101 Park Ave, New York, NY 10017 (4 employees affected) 1 Liberty Plaza, New York, NY 10005 (1 employee affected)"
"2022-11-11","November 11, 2022","November 2022","And 12/1/2022","2022-0072","Paula Yerdon","Plant Closing","Specialty Welding and Fabricating of New York Inc.","1025 E Hiawatha Blvd","Onondaga |Wdb Name: Onondaga | Region: Central Region","Onondaga","Onondaga","Central Region","Randal J. Stier, President","(315) 426-1807","Metal Fabrication","62",62,62,"62",62,0,"Separations for 62 employees will occur on or about March 1, 2023 or as needed as plant closes.","March 1, 2023","Economic","16-1374324","The employees are not represented by a union.","Plant Closing"
"2022-12-15","December 15, 2022","December 2022",NA,"2022-0070","Stuart Goldberg","Plant Closing","Get Heal Inc. & Heal Doctors P.C. with Humana at Home Inc.","254 36th Street, Building #2, Suite 314S","Kings |Wdb Name: New York City | Region: New York City","Kings","New York City","New York City","Christine Iadarola, Human Resources Department","(508) 654-3390","Provides health care services","60",60,60,"60",60,0,"Sixty (60) employment separations related to this closure are expected to begin on or about March 16, 2023.","March 16, 2023","Economic","----","The employees are not represented by a union.","Plant Closing"
"2022-11-30","November 30, 2022","November 2022","Amendment: 12/17/2022","2022-0058","Stuart Goldberg","Possible Plant Closing","Housing Works, Inc.","81 Willoughby Street, 2nd Floor","Kings |Wdb Name: New York City | Region: New York City","Kings","New York City","New York City","Jewel Allred, Vice President of Human Resources","(718) 408-6547","COVID-19 mobile testing site","30",30,30,"30",30,0,"All affected employee (30) separations will be postponed from December 31, 2022 to January 20, 2023.","January 20, 2023","NYC Human Resources Administration (“HRA”) has not yet renewed their temporary contract beyond January 20, 2023.","13-3584089","Retail Whole & Department Store Union Local 338","Possible Plant Closing"
"2022-12-13","December 13, 2022","December 2022",NA,"2022-0066","Lisa McGuire","Plant Closing","Lehigh Cement Company LLC","313 Warren Street","Warren |Wdb Name: Sar/War/Was | Region: Capital Region","Warren","Sar/War/Was","Capital Region","Andrea Cory, Director of Human Resource - Northeast Region","(610) 366-4735","Cement Plant","85",85,85,"85",85,0,"Employees are expected to be separated from employment beginning in the period from April 3, 2023 to April 17, 2023. With the phased manner shut down, some employees will remain at the Plant beyond the identified 14-day period, however all separations are expected to be accomplished by the end of 2023.","End of 2023","Due to changes to the competitive landscape within the global cement industry.","81-4086708","The employees are not represented by a union.","Plant Closing"
"2022-11-21","November 21, 2022","November 2022",NA,"2022-0065","Stuart Goldberg","Plant Layoff","RUME Health, LLC","Astoria, NY 11105","Queens |Wdb Name: New York City | Region: New York City","Queens","New York City","New York City","Angela David, HR Team Lead","(949) 691-5159","Convenient drive-thru testing and telemedicine on your terms.","1",1,1,"4",4,3,"A remote employee layoff will occur on January 20, 2023.","----","Economic","84-4511660","The employee is not represented by a union.","Plant Layoff"
"2022-08-31","August 31, 2022","August 2022","Amendment: 12/9/2022","2022-0017","Stuart Goldberg","Plant Layoff","Medly Health Inc. (Headquarters & Pharmacy)","31 Debevoise Street","Kings |Wdb Name: New York City | Region: New York City","Kings","New York City","New York City","Christine Tobias, Chief People Officer","(201) 362-9035","Pharmacy","173 (Headquarters: 45 affected employees; Pharmacy: 128 affected employees)",173,173,"231",231,58,"The total number of affected employees at the Brooklyn Pharmacy is 63. Separations for 37 employees occurred Friday, December 9, 2022 and the remaining 26 separations will occur on or before February 10, 2023.","----","Economic","11-3394606","The employees are not represented by a union.","Plant Layoff"
"2022-11-29","November 29, 2022","November 2022",NA,"2022-0064","Frederick Danks","Plant Layoff","Reverse Mortgage Funding LLC","41 Pinelawn Rd., Ste 200","Suffolk |Wdb Name: Suffolk | Region: Long Island","Suffolk","Suffolk","Long Island","Craig Corn, Chief Executive Officer","(973) 434-7218","National reverse mortgage lender","119",119,0,"119",119,0,"Separations for 119 employees will occur on November 29, 2022 and such layoffs are considered to be permanent.","----","Economic","80-0860209","The employees are not represented by a union.","Plant Layoff"
"2022-12-01","December 1, 2022","December 2022","Amendment: 12/8/2022","2022-0059","Elias Flores","Plant Layoff","IEH Auto Parts LLC d/b/a Auto Plus","29 Elizabeth Dr.","Orange |Wdb Name: Orange | Region: Mid-Hudson Region","Orange","Orange","Mid-Hudson Region","Tara Givens, Vice President - Human Relations","(770) 659-5209","Tire shop","71",71,71,"105",105,34,"It is expected that employment separations for an additional seven (7) employees will begin on March 8, 2023, and could last 30 days or longer, but will be completed by March 31, 2023.","----","Economic","47-3322066","The employees are not represented by a union.","Plant Layoff"
"2022-12-01","December 1, 2022","December 2022",NA,"2022-0062","Stuart Goldberg","Plant Closing","Cayuga Home for Children d/b/a Cayuga Centers","1916 Park Ave","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Christopher Rogers, VP Human Resources","(646) 825-0385","Not for Profit, Child Welfare","238",238,238,"702",702,464,"Separations for 238 employees will occur on January 31, 2023.","December 1, 2022","Program downsizing","15-0532087","The employees are not represented by a union.","Plant Closing"
"2022-12-05","December 5, 2022","December 2022",NA,"2022-0063","Stuart Goldberg","Plant Closing","Freshly, Inc.","115 E. 23rd Street, Floor 7","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Kelsey Comstock, Director of Public Relations","(617) 721-6531","Prepared meal delivery company","138",138,138,"138",138,0,"Separations are expected to occur effective March 9, 2023 through March 31, 2023.","March 31, 2023","A strategic shift in business strategy following change in control.","46-3173351","The employees are not represented by a union.","Plant Closing"
"2022-12-01","December 1, 2022","December 2022",NA,"2022-0061","Stuart Goldberg","Plant Closing","ReOpen Diagnostics, LLC d/b/a Pandemic Response Lab","45-18 Ct. Square West, 2nd Floor","Queens |Wdb Name: New York City | Region: New York City","Queens","New York City","New York City","Kyle Wong, Senior Human Resources Manager","(332) 373-2205","Laboratory Services","185",185,185,"185",185,0,"Separations are expected to commence effective February 28th, 2023.","February 28, 2023","Economic","85-2289556","The employees are not represented by a union.","Plant Closing"
"2022-11-29","November 29, 2022","November 2022",NA,"2022-0060","Elias Flores","Plant Layoff","Reverse Mortgage Funding LLC","700 Corporate Blvd, Suite 701","Orange |Wdb Name: Orange| Region: Mid-Hudson Region","Orange","Orange","Mid-Hudson Region","Craig Corn, Chief Executive Officer","(973) 434-7218","National reverse mortgage lender","233",233,233,"----",NA,NA,"Separations for 233 employees will occur on November 29, 2022 and such layoffs are considered to be permanent.","----","Economic","80-0860209","The employees are not represented by a union.","Plant Layoff"
"2022-12-01","December 1, 2022","December 2022",NA,"2022-0059","Elias Flores","Plant Layoff","IEH Auto Parts LLC d/b/a Auto Plus","29 Elizabeth Dr.","Orange |Wdb Name: Orange | Region: Mid-Hudson Region","Orange","Orange","Mid-Hudson Region","Tara Givens, Vice President - Human Relations","(770) 659-5209","Tire shop","64",64,0,"105",105,41,"It is expected that employment separations will begin on March 1, 2023, and could last 30 days or longer, but will be completed by March 15, 2023.","----","Economic","47-3322066","The employees are not represented by a union.","Plant Layoff"
"2022-11-30","November 30, 2022","November 2022",NA,"2022-0058","Stuart Goldberg","Possible Plant Closing","Housing Works, Inc.","81 Willoughby Street, 2nd Floor","Kings |Wdb Name: New York City | Region: New York City","Kings","New York City","New York City","Jewel Allred, Vice President of Human Resources","(718) 408-6547","COVID-19 mobile testing site","30",30,0,"30",30,0,"Separations will occur on December 31, 2022, if the temporary contract with Housing Works, Inc. is not renewed.","12/31/2022","NYC Human Resources Administration (“HRA”) has not yet renewed their temporary contract.","13-3584089","Retail Whole & Department Store Union Local 338","Possible Plant Closing"
"2022-11-28","November 28, 2022","November 2022",NA,"2022-0057","Stuart Goldberg","Plant Layoff","BlockFi Inc.","150 Broadway","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Megan Crowell, Chief People Officer","(201) 565-4387","Crypto company","167",167,167,"374",374,207,"Employment terminations are expected to occur on February 27, 2023 or a date within 14 days thereafter.","----","Economic","----","The employees are not represented by a union.","Plant Layoff"
"2022-11-28","November 28, 2022","November 2022",NA,"2022-0056","Elias Flores","Plant Closing","City Carting of Westchester, Inc.","","Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region","Westchester","Westch/Ptnm","Mid-Hudson Region","Robert G. Oxer, Company President","(914) 423-0420","Waste Management","81",81,81,"81",81,0,"The layoffs are currently anticipated to occur on February 28, 2023.","February 28, 2023","Company is not authorized to engage in the waste management business in Westchester County as of March 2023.","72-1564206","Private Sanitation Union Local 813","Plant Closing City Carting of Westchester, Inc. sites: 1 A, Stew Leonard Dr, Yonkers, NY 10710 (72 employees) 167 ROA Hook Rd., Cortlandt Manor, NY 10567 (2 employees) 41 Brockway Place, White Plains, NY, 10601 (4 employees) 10 Kimball Place, Mt. Vernon, NY, 10550 (3 employees)"
"2022-11-28","November 28, 2022","November 2022",NA,"2022-0055","Stuart Goldberg","Plant Layoff","Candy Digital, Inc.","205 Hudson Street, 5th Floor","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Anthony Fitzgerald, Head of People","(973) 670-1124","Next generation digital collectible company offering unique NFTs for fans and collectors","39",39,39,"----",NA,NA,"Separations for 39 employees will begin on February 26, 2023, with all separations accomplished by February 26, 2023.","----","Economic","86-2708176","The employees are not represented by a union.","Plant Layoff"
"2022-11-16","November 16, 2022","November 2022",NA,"2022-0053","Elias Flores","Plant Closing","Volunteers of America-Greater New York, Inc.- VOA-GNY","(Grasslands Homeless Shelter)","Westchester |Wdb Name: Westch/Ptnm | Region: Mid-Hudson Region","Westchester","Westch/Ptnm","Mid-Hudson Region","Sean Prendergast, Vice President of Human Resources and Chief Compliance Officer","(646) 685-0207","Sheltered housing","35",35,35,"35",35,0,"Separations for 35 employees will occur January 1, 2023.","January 1, 2023","Loss of contract with the Westchester County Department of Social Services.","----","The employees are represented by a union.","Plant Closing"
"2022-11-15","November 15, 2022","November 2022",NA,"2022-0054","Stuart Goldberg","Plant Closing","American Grill Investor LLC., d/b/a Hudson Yards Grill","20 Hudson Yards, RU401A","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Laurie Smith, Chief Financial Officer","(212) 695-0351","Restaurant","63",63,63,"63",63,0,"Separations for 63 employees will occur on or about February 13, 2023.","February 13, 2023","Economic","36-4868636","The employees are not represented by a union.","Plant Closing"
"2022-11-09","November 9, 2022","November 2022",NA,"2022-0052","Stuart Goldberg","Plant Layoff","Meta Platforms, Inc. (formerly Facebook, Inc.)","","New York |Wdb Name: New York City | Region: New York City","New York","New York City","New York City","Amanda Spitz, HR Director","(954) 232-0695","Multinational technology conglomerate","871 (total employees at three locations)",871,871,"----",NA,NA,"Separations for 871 employees within three locations in New York City will begin on February 10, 2023.","----","Economic","20-1665019","The employees are not represented by a union.","Plant Layoff Meta Platforms, Inc. (formerly Facebook, Inc.) sites: 225 Park Ave. S, New York, NY 10003 (43 employees affected) 770 Broadway, New York, NY 10003 (522 employees affected) 372 9th Ave., New York, NY 10001 (306 employees affected)"
